wl (nm)	EQE (%)
9.720000e+02	6.114568e+01
9.730000e+02	6.104421e+01
9.740000e+02	6.094274e+01
9.750000e+02	6.084127e+01
9.760000e+02	6.073269e+01
9.770000e+02	6.062412e+01
9.780000e+02	6.051554e+01
9.790000e+02	6.040697e+01
9.800000e+02	6.029840e+01
9.810000e+02	6.014419e+01
9.820000e+02	5.998999e+01
9.830000e+02	5.983578e+01
9.840000e+02	5.968157e+01
9.850000e+02	5.952737e+01
9.860000e+02	5.937585e+01
9.870000e+02	5.922433e+01
9.880000e+02	5.907282e+01
9.890000e+02	5.892130e+01
9.900000e+02	5.876979e+01
9.910000e+02	5.859146e+01
9.920000e+02	5.841314e+01
9.930000e+02	5.823481e+01
9.940000e+02	5.805649e+01
9.950000e+02	5.787817e+01
9.960000e+02	5.760389e+01
9.970000e+02	5.732962e+01
9.980000e+02	5.705535e+01
9.990000e+02	5.678107e+01
1.000000e+03	5.650680e+01
1.001000e+03	5.625882e+01
1.002000e+03	5.601084e+01
1.003000e+03	5.576286e+01
1.004000e+03	5.551489e+01
1.005000e+03	5.526691e+01
1.006000e+03	5.492455e+01
1.007000e+03	5.458219e+01
1.008000e+03	5.423983e+01
1.009000e+03	5.389747e+01
1.010000e+03	5.355511e+01
1.011000e+03	5.315758e+01
1.012000e+03	5.276005e+01
1.013000e+03	5.236251e+01
1.014000e+03	5.196498e+01
1.015000e+03	5.156745e+01
1.016000e+03	5.113198e+01
1.017000e+03	5.069651e+01
1.018000e+03	5.026104e+01
1.019000e+03	4.982557e+01
1.020000e+03	4.939010e+01
1.021000e+03	4.888403e+01
1.022000e+03	4.837796e+01
1.023000e+03	4.787188e+01
1.024000e+03	4.736581e+01
1.025000e+03	4.685973e+01
1.026000e+03	4.631903e+01
1.027000e+03	4.577833e+01
1.028000e+03	4.523763e+01
1.029000e+03	4.469693e+01
1.030000e+03	4.415623e+01
1.031000e+03	4.355950e+01
1.032000e+03	4.296277e+01
1.033000e+03	4.236604e+01
1.034000e+03	4.176930e+01
1.035000e+03	4.117257e+01
1.036000e+03	4.053196e+01
1.037000e+03	3.989135e+01
1.038000e+03	3.925074e+01
1.039000e+03	3.861014e+01
1.040000e+03	3.796953e+01
1.041000e+03	3.729926e+01
1.042000e+03	3.662899e+01
1.043000e+03	3.595872e+01
1.044000e+03	3.528845e+01
1.045000e+03	3.461818e+01
1.046000e+03	3.393702e+01
1.047000e+03	3.325586e+01
1.048000e+03	3.257471e+01
1.049000e+03	3.189355e+01
1.050000e+03	3.121239e+01
1.051000e+03	3.051426e+01
